window_start,window_end,task,major_gesture,pred_label,proba_lock,global_vel_mean,micro_motion_ratio,large_motion_ratio,lock_decision,decision_reason
0,150,Suturing,G1,NO_LOCK_REQUIRED,0.48806568467324996,0.05547705292701721,0.8015718827269516,0.0839809254680325,SUGGEST_NO_LOCK,锁定概率不足或速度偏高，不建议锁定
50,200,Suturing,G1,NO_LOCK_REQUIRED,0.2633912215102399,0.06659942120313644,0.7660720593429884,0.09819851642529141,SUGGEST_NO_LOCK,锁定概率不足或速度偏高，不建议锁定
100,250,Suturing,G1,NO_LOCK_REQUIRED,0.3237551351657373,0.05552053079009056,0.805987283645355,0.0817732250088308,SUGGEST_NO_LOCK,锁定概率不足或速度偏高，不建议锁定
150,300,Suturing,G5,LOCK_REQUIRED,0.7758163658250661,0.03334900364279747,0.876368774284705,0.050777110561639,SUGGEST_LOCK,高锁定概率且速度低，建议锁定
200,350,Suturing,G5,NO_LOCK_REQUIRED,0.4456718522675207,0.05843302235007286,0.805898975626987,0.08080183680678206,SUGGEST_NO_LOCK,锁定概率不足或速度偏高，不建议锁定
250,400,Suturing,G5,NO_LOCK_REQUIRED,0.3028130586852651,0.07721336930990219,0.7537972447898269,0.10791239844577888,SUGGEST_NO_LOCK,锁定概率不足或速度偏高，不建议锁定
300,450,Suturing,G8,NO_LOCK_REQUIRED,0.5258186305941938,0.07854092121124268,0.7299540798304486,0.12080536912751678,SUGGEST_NO_LOCK,锁定概率不足或速度偏高，不建议锁定
350,500,Suturing,G8,LOCK_REQUIRED,0.7478871272900823,0.07290741801261902,0.748675379724479,0.11833274461321087,SUGGEST_NO_LOCK,锁定概率不足或速度偏高，不建议锁定
400,550,Suturing,G8,LOCK_REQUIRED,0.8433385863333143,0.08328194171190262,0.7314553161427058,0.11895090074178735,SUGGEST_NO_LOCK,锁定概率不足或速度偏高，不建议锁定
450,600,Suturing,G8,LOCK_REQUIRED,0.8131305427310462,0.09150275588035583,0.7322500883080184,0.12009890498057224,SUGGEST_NO_LOCK,锁定概率不足或速度偏高，不建议锁定
500,650,Suturing,G8,LOCK_REQUIRED,0.836852977147533,0.08747784793376923,0.7326916283998587,0.11347580360296715,SUGGEST_NO_LOCK,锁定概率不足或速度偏高，不建议锁定
550,700,Suturing,G2,LOCK_REQUIRED,0.6912034931242976,0.059982649981975555,0.7808194984104556,0.09139879901095019,SUGGEST_NO_LOCK,锁定概率不足或速度偏高，不建议锁定
600,750,Suturing,G3,LOCK_REQUIRED,0.9000884347838218,0.05430528521537781,0.7937124690921936,0.08442246555987283,SUGGEST_LOCK,高锁定概率且速度低，建议锁定
