acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,true_intent
-0.023150994,0.005795116,0.015617081,0.010879473,-0.019227654,0.021420173,PREPARE_LOCK
0.014029114,0.014099469,0.014901252,0.022086944,0.044859447,-0.012229863,PREPARE_LOCK
0.00094422366,0.035084695,-0.026759597,0.0065114894,-0.013782354,-0.0003964362,PREPARE_LOCK
0.009495065,-0.03862203,-0.019849565,-0.028109422,-0.0046219104,-0.013776942,PREPARE_LOCK
0.030302115,-0.012063431,0.03427369,-0.008124984,0.0054281903,0.00079680403,PREPARE_LOCK
0.00023036636,-0.02254356,0.0066942596,0.0076778308,0.0047567105,0.012428233,PREPARE_LOCK
-0.01638491,-0.0059515843,-0.013231254,-0.034083407,0.0073507265,-0.012709776,PREPARE_LOCK
-0.0015544101,0.044995356,0.0046062106,0.002148318,0.021478916,0.024927078,PREPARE_LOCK
0.036257856,-0.010429679,0.035918698,-0.002627156,-0.023164535,-0.018577827,PREPARE_LOCK
0.022156937,0.015250831,0.025650477,-0.01843649,-0.006795799,-0.023954343,PREPARE_LOCK
-0.039511714,-0.0003612695,0.031653892,0.022241743,-0.015543706,0.023349395,PREPARE_LOCK
-0.011535564,0.006242236,0.016539784,-0.008151713,-0.017692748,0.012992253,PREPARE_LOCK
-0.0035440614,-0.011036717,0.012685922,-0.0042994134,0.007657316,-0.019312177,PREPARE_LOCK
0.014480544,-0.018933307,-0.007713041,-0.03743278,0.02317959,0.0018726375,PREPARE_LOCK
0.009255404,-0.034050833,0.003070859,-0.00788759,0.023940608,-0.031410065,PREPARE_LOCK
0.0070571904,0.021111544,-0.0238464,0.0021824767,-0.02168688,0.00086371205,PREPARE_LOCK
0.006662903,0.026338996,0.0033632338,-0.013792657,0.0115179075,5.1151048e-05,PREPARE_LOCK
0.021603331,-0.012099241,0.02673396,0.0033781014,0.0048532053,0.020076083,PREPARE_LOCK
-0.010595222,-0.010216364,0.010160454,-0.0016784399,0.0009400437,-0.00809816,PREPARE_LOCK
-0.006154414,0.017250955,0.039216623,-0.027593696,0.030294051,0.014779238,PREPARE_LOCK
0.024112597,0.0035774803,-0.014699243,-0.0040147156,-0.018555071,-0.03343348,PREPARE_LOCK
-0.0015595766,0.005181353,-0.0056248982,0.0037936205,-0.030955596,0.02112066,PREPARE_LOCK
-0.0031703294,0.00081072206,0.01430494,-0.011286293,0.051895104,0.024971532,PREPARE_LOCK
0.024635848,0.0030277031,-0.01421985,0.010007459,-0.014575185,0.004666163,PREPARE_LOCK
0.0046993215,0.02470789,0.008820491,0.002986626,0.027746363,-0.0023181227,PREPARE_LOCK
-0.010636053,-0.010206303,0.029155672,0.00063755986,-0.0114734415,-0.039149184,PREPARE_LOCK
-0.020870587,0.0062531494,0.011714625,0.033281475,-0.0139262,0.009965328,PREPARE_LOCK
0.025919152,-0.0457134,0.046223793,-0.02271415,-0.022732586,0.018675802,PREPARE_LOCK
